,Jenis Barang,Nama Barang,Stok,,,,,,,,,,,,,,
,,,Lemari Kaca,Lemari,Rak A,Rak B,Rak C,Rak D,Rak E,Rak F,Rak G,Lantai,Total,,MO,Gudang,Total
Lain-lainAksesoris Samsung Galaxy Tab A,Lain-lain,Aksesoris Samsung Galaxy Tab A,,1,,,,,,,,,1,,,,
Lain-lainAksesoris Server,Lain-lain,Aksesoris Server,,,,,,3,,,,,3,,,,
Lain-lainAksesoris VC CISCO,Lain-lain,Aksesoris VC CISCO,,1,,,,,,,,,1,,,,
Lain-lainBreak Glass - Emergency,Lain-lain,Break Glass - Emergency,,,,3,,,,,,,3,,,,
Lain-lainDry Battery,Lain-lain,Dry Battery,,,,2,,,,,,,2,,,,
Lain-lainHeat Sink Compounds,Lain-lain,Heat Sink Compounds,,1,,,,,,,,,1,,,,
Lain-lainHPE Single Port Fibre Channel Host Bus Adapter,Lain-lain,HPE Single Port Fibre Channel Host Bus Adapter,,1,,,,,,,,,1,,,,
Lain-lainMASKO Klem Supra 12mm,Lain-lain,MASKO Klem Supra 12mm,,50,,,,,,,,,50,,,,
Lain-lainMASKO Klem Supra 14mm,Lain-lain,MASKO Klem Supra 14mm,,,,,,,,,,,,,,,
Lain-lainMata Bar Beton 8 X 210 mm,Lain-lain,Mata Bar Beton 8 X 210 mm,,1,,,,,,,,,1,,,,
Lain-lainNISO Socket Pipa 20mm,Lain-lain,NISO Socket Pipa 20mm,,,,,,,,,,,,,,,
Lain-lainPush Button - No Touch,Lain-lain,Push Button - No Touch,,,,1,,,,,,,1,,,,
Lain-lainSAMSUNG Galaxy Tab A,Lain-lain,SAMSUNG Galaxy Tab A,,4,,,,,,,,,4,,,,
Lain-lainZOLA Compressed Air Duster,Lain-lain,ZOLA Compressed Air Duster,1,,,,,,,,,,1,,,,
Laser PresentationLOGITECH R500s Laser Presentation Remote,Laser Presentation,LOGITECH R500s Laser Presentation Remote,,1,,,,,,,,,1,,,,
Maintenance BoxMaintenance Box,Maintenance Box,Maintenance Box,,,,,,,,2,,,2,,,,
Media ConverterTP-LINK 10/100 Mbps WDM Media Converter MC111CS,Media Converter,TP-LINK 10/100 Mbps WDM Media Converter MC111CS,,,,,,,,,,,,,,,
Media ConverterTP-LINK 10/100 Mbps WDM Media Converter MC112CS,Media Converter,TP-LINK 10/100 Mbps WDM Media Converter MC112CS,,,,,,,,,,,,,,,
Media ConverterTP-LINK 10/100 Mbps WDM Media Converter TL-FC111A-20,Media Converter,TP-LINK 10/100 Mbps WDM Media Converter TL-FC111A-20,,,,,,,,,,,,,,,
Media ConverterTP-LINK 10/100 Mbps WDM Media Converter TL-FC111B-20,Media Converter,TP-LINK 10/100 Mbps WDM Media Converter TL-FC111B-20,,,,,,,,,,,,,,,
Media ConverterTP-LINK Gigabit Single Mode Media Converter MC210,Media Converter,TP-LINK Gigabit Single Mode Media Converter MC210,3,,,2,,,,,,,5,,,,
Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311A-20,Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311A-20,,,,,,,,,,,,,,,
Media ConverterTP-LINK Gigabit WDM Media Converter TL-FC311B-20,Media Converter,TP-LINK Gigabit WDM Media Converter TL-FC311B-20,,,,,,,,,,,,,,,
Media ConverterOMADA Gigabit WDM Media Converter MC211CS-20,Media Converter,OMADA Gigabit WDM Media Converter MC211CS-20,4,,,,,,,,,,4,,,,
Media ConverterOMADA Gigabit WDM Media Converter MC212CS-20,Media Converter,OMADA Gigabit WDM Media Converter MC212CS-20,4,,,,,,,,,,4,,,,
MemoryKINGSTON 8GB DDR4 PC 2666,Memory,KINGSTON 8GB DDR4 PC 2666,1,,,,,,,,,,1,,,,
MemorySAMSUNG 8GB DDR4 PC 2666v,Memory,SAMSUNG 8GB DDR4 PC 2666v,,,,,,,,,,,,,,,
MemoryVGEN 2GB DDR3 PC 12800,Memory,VGEN 2GB DDR3 PC 12800,,,,,,,,,,,,,,,
MemoryVGEN 8GB SO-DIM DDR4 PC 2666v,Memory,VGEN 8GB SO-DIM DDR4 PC 2666v,5,,,,,,,,,,5,,,,
Mini PCINTEL NUC,Mini PC,INTEL NUC,4,,,,,,,,,,4,,,,
Mini PCSEI Mini PC,Mini PC,SEI Mini PC,1,,,,,,,,,,1,,,,
MonitorMonitor DELL E2422H,Monitor,Monitor DELL E2422H,,,,,,,,,,,,,,,
MonitorMonitor HP P24 G5 FHD,Monitor,Monitor HP P24 G5 FHD,,,,,6,,,,,,6,,,,
MonitorMonitor HP V193b,Monitor,Monitor HP V193b,,,,,,,,,,,,,,,
MonitorMonitor HP Z24f G3,Monitor,Monitor HP Z24f G3,,,,,2,,,,,,2,,,,
MouseHP Mouse,Mouse,HP Mouse,,,,,,,,,,,,,,,
MouseLogitech Mouse,Mouse,Logitech Mouse,9,,,,,,,,,,9,,,,
MouseRobot Wireless Mouse,Mouse,Robot Wireless Mouse,,,,,,,,,,,,,,,
Network AdapterTP-LINK USB 3.0 To Gigabit Ethernet Network Adapter,Network Adapter,TP-LINK USB 3.0 To Gigabit Ethernet Network Adapter,3,,,,,,,,,,3,,,,
Network CablePANDUIT TX6 Plus CAT6 UTP Patch Cord 1M,Network Cable,PANDUIT TX6 Plus CAT6 UTP Patch Cord 1M,9,,,,,,,450,,,459,,,,
Network CameraHIKVISION 2 MP 25X Powered by DarkFighter Network Speed Dome,Network Camera,HIKVISION 2 MP 25X Powered by DarkFighter Network Speed Dome,,,,,,,,,,1,1,,,,
Network CameraHIKVISION 3 MP Fisheye Fixed Dome Network Camera,Network Camera,HIKVISION 3 MP Fisheye Fixed Dome Network Camera,,,,,,,,,,,,,,,
Network CameraHIKVISION 4 MP ColorVu MD 2.0 Fixed Bullet Network Camera,Network Camera,HIKVISION 4 MP ColorVu MD 2.0 Fixed Bullet Network Camera,,,,,,,,,,,,,,,
Network CameraHIKVISION 4 MP ColorVu with Smart Hybrid Light Fixed Bullet Network Camera,Network Camera,HIKVISION 4 MP ColorVu with Smart Hybrid Light Fixed Bullet Network Camera,,,,,,,,,,,,,,,
Network CameraHIKVISION 4 MP Smart Hybrid Light with ColorVu Motorized Varifocal Bullet Network Camera,Network Camera,HIKVISION 4 MP Smart Hybrid Light with ColorVu Motorized Varifocal Bullet Network Camera,,,,,,,,,,,,,,,
Network CameraHIKVISION 4-inch 4 MP 25X Powered by DarkFighter IR Network Speed Dome,Network Camera,HIKVISION 4-inch 4 MP 25X Powered by DarkFighter IR Network Speed Dome,,,,,,,,,,3,3,,,,
Network CameraHIKVISION 4MP ANPR Intelligent Entrance Video Unit,Network Camera,HIKVISION 4MP ANPR Intelligent Entrance Video Unit,,,,2,,,,,,,2,,,,
Network CameraHIKVISION 4MP Powered by darkfighter Fixed Bullet Network Camera,Network Camera,HIKVISION 4MP Powered by darkfighter Fixed Bullet Network Camera,,,,,,,,,,,,,,,
Network CameraHIKVISION 5 MP Varifocal Bullet Network Camera,Network Camera,HIKVISION 5 MP Varifocal Bullet Network Camera,,,,,,,,,,,,,,,
Network CameraHIKVISION 5MP Fixed Fisheye Network Camera,Network Camera,HIKVISION 5MP Fixed Fisheye Network Camera,,,,,,,,,,,,,,,
NVRHIKVISION Network Video Recorder DS-7698NI-K2,NVR,HIKVISION Network Video Recorder DS-7698NI-K2,,,,,,1,,,,,1,,,,
OTBNETVIEL OTB Minibox 4 port SC Singlemode,OTB,NETVIEL OTB Minibox 4 port SC Singlemode,,,,2,,,,,,,2,,,,
OTBNETVIEL OTB Rackmount 12 port LC Singlemode,OTB,NETVIEL OTB Rackmount 12 port LC Singlemode,,,,3,,,,,,,3,,,,
Patch CordPatch Cord bekas,Patch Cord,Patch Cord bekas,1,,,,,,,,,,1,,,,
Patch CordPatch Cord LC Pig Tail 1M,Patch Cord,Patch Cord LC Pig Tail 1M,,,228,,,,,,,,228,,,,
Patch CordPatch Cord LC-LC 10M,Patch Cord,Patch Cord LC-LC 10M,13,,,,,,,,,,13,,,,
Patch CordPatch Cord LC-LC 1M,Patch Cord,Patch Cord LC-LC 1M,,,11,,,,,,,,11,,,,
Patch CordPatch Cord LC-LC 2M,Patch Cord,Patch Cord LC-LC 2M,2,,,,,,,,,,2,,,,
Patch CordPatch Cord LC-LC 3M,Patch Cord,Patch Cord LC-LC 3M,1,,61,3,,,,,,,65,,,,
Patch CordPatch Cord LC-LC 5M,Patch Cord,Patch Cord LC-LC 5M,3,,,,,,,,,,3,,,,
Patch CordPatch Cord SC Pig Tail 1 M,Patch Cord,Patch Cord SC Pig Tail 1 M,,,12,,,,,,,,12,,,,
Patch CordPatch Cord SC-LC 10M,Patch Cord,Patch Cord SC-LC 10M,,,1,,,,,,,,1,,,,
Patch CordPatch Cord SC-LC 3M,Patch Cord,Patch Cord SC-LC 3M,3,,,1,,,,,,,4,,,,
Patch CordPatch Cord SC-SC 2M,Patch Cord,Patch Cord SC-SC 2M,,,,,,,,,,,,,,,
Patch CordPatch Cord SC-SC 3M,Patch Cord,Patch Cord SC-SC 3M,2,,14,,,,,,,,16,,,,
PCDELL PC i3,PC,DELL PC i3,,,,1,,,,,,,1,,,,
PCHP 280 Pro G6 Micro Tower PC,PC,HP 280 Pro G6 Micro Tower PC,,,,,1,,,,,,1,,,,
PDUABBA Rack Power Distribution Unit,PDU,ABBA Rack Power Distribution Unit,,,,,,1,,,,,1,,,,
PhonePANASONIC Digital Proprietary Telephone,Phone,PANASONIC Digital Proprietary Telephone,,,,,,1,,,,,1,,,,
PhonePANASONIC Integrated Telephone System,Phone,PANASONIC Integrated Telephone System,1,,,,,2,,,,,3,,,,
PoE InjectorCISCO Poe Injector,PoE Injector,CISCO Poe Injector,,1,,,,,,,,,1,,,,
PoE InjectorPHIHONG PoE Injector,PoE Injector,PHIHONG PoE Injector,,3,,,,,,,,,3,,,,
PoE InjectorTENDA PoE Injector,PoE Injector,TENDA PoE Injector,2,,6,,,,,,,,8,,,,
PoE InjectorTP-LINK Gigabit PoE Injector,PoE Injector,TP-LINK Gigabit PoE Injector,,,1,,,,,,,,1,,,,
PoE SwitchHIKVISION 4 Port Fast Ethernet Unmanaged POE Switch,PoE Switch,HIKVISION 4 Port Fast Ethernet Unmanaged POE Switch,,,,,,,,,,,,,,,
PoE SwitchHIKVISION 4 Port Gigabit Smart POE Switch,PoE Switch,HIKVISION 4 Port Gigabit Smart POE Switch,,,2,,,,,,,,2,,,,
PoE SwitchHIKVISION 4 Port Gigabit Unmangaed POE Switch,PoE Switch,HIKVISION 4 Port Gigabit Unmangaed POE Switch,1,,,,,,,,,,1,,,,
PoE SwitchHIKVISION 8 Port Fast Ethernet Unmanaged POE Switch,PoE Switch,HIKVISION 8 Port Fast Ethernet Unmanaged POE Switch,,,,,,,,,,,,,,,
PoE SwitchHIKVISION 8 Port Gigabit Smart POE Switch,PoE Switch,HIKVISION 8 Port Gigabit Smart POE Switch,2,,,,,,,,,,2,,,,
PoE SwitchHIKVISION 8 Port Gigabit Unmanaged POE Switch,PoE Switch,HIKVISION 8 Port Gigabit Unmanaged POE Switch,,,,,,,,,,,,,,,
Power Supply12v Adaptor,Power Supply,12v Adaptor,,,,36,,,,,,,36,,,,
Power Supply24v 5A Adaptor,Power Supply,24v 5A Adaptor,,,,5,,,,,,,5,,,,
Power SupplyCORSAIR ATX Power Supply 450W,Power Supply,CORSAIR ATX Power Supply 450W,1,,,,,,,,,,1,,,,
Power SupplyENLIGHT Sniper Power 450W Power Supply,Power Supply,ENLIGHT Sniper Power 450W Power Supply,,,,,,,,,,,,,,,
PrinterPrinter EPSON LQ-310,Printer,Printer EPSON LQ-310,,,,,1,,,,,,1,,,,
Printer CartridgeHP Toner Cartridge 119A Black,Printer Cartridge,HP Toner Cartridge 119A Black,1,,,,,,,1,,,2,,,,
Printer CartridgeHP Toner Cartridge 119A Cyan,Printer Cartridge,HP Toner Cartridge 119A Cyan,1,,,,,,,,,,1,,,,
Printer CartridgeHP Toner Cartridge 119A Magenta,Printer Cartridge,HP Toner Cartridge 119A Magenta,1,,,,,,,,,,1,,,,
Printer CartridgeHP Toner Cartridge 119A Yellow,Printer Cartridge,HP Toner Cartridge 119A Yellow,2,,,,,,,8,,,10,,,,
Printer CartridgeHP Toner Cartridge 17A Black,Printer Cartridge,HP Toner Cartridge 17A Black,1,,,,,,,12,,,13,,,,
Printer CartridgeHP Toner Cartridge 201A Black,Printer Cartridge,HP Toner Cartridge 201A Black,1,,,,,,,,,,1,,,,
Printer CartridgeHP Toner Cartridge 201A Cyan,Printer Cartridge,HP Toner Cartridge 201A Cyan,1,,,,,,,1,,,2,,,,
Printer CartridgeHP Toner Cartridge 201A Magenta,Printer Cartridge,HP Toner Cartridge 201A Magenta,1,,,,,,,1,,,2,,,,
Printer CartridgeHP Toner Cartridge 201A Yellow,Printer Cartridge,HP Toner Cartridge 201A Yellow,1,,,,,,,2,,,3,,,,
Printer CartridgeHP Toner Cartridge 206A Black,Printer Cartridge,HP Toner Cartridge 206A Black,1,,,,,,,3,,,4,,,,
Printer CartridgeHP Toner Cartridge 206A Cyan,Printer Cartridge,HP Toner Cartridge 206A Cyan,1,,,,,,,1,,,2,,,,
Printer CartridgeHP Toner Cartridge 206A Magenta,Printer Cartridge,HP Toner Cartridge 206A Magenta,1,,,,,,,2,,,3,,,,
Printer CartridgeHP Toner Cartridge 206A Yellow,Printer Cartridge,HP Toner Cartridge 206A Yellow,1,,,,,,,1,,,2,,,,
